STN,YYYYMMDD,RD,SX
919,20160415,70,0
919,20160416,68,0
919,20160417,3,0
919,20160418,15,0
919,20160419,0,0
919,20160420,0,0
919,20160421,0,0
919,20160422,0,0
919,20160423,2,0
919,20160424,23,0
919,20160425,25,0
919,20160426,63,0
919,20160427,102,0
919,20160428,21,0
919,20160429,42,0
919,20160430,21,0
919,20160501,0,0
919,20160502,0,0
919,20160503,23,0
919,20160504,0,0
919,20160505,0,0
919,20160506,0,0
919,20160507,0,0
919,20160508,0,0
919,20160509,0,0
919,20160510,2,0
919,20160511,0,0
919,20160512,0,0
919,20160513,0,0
919,20160514,0,0
919,20160515,0,0
919,20160516,3,0
919,20160517,0,0
919,20160518,0,0
919,20160519,68,0
919,20160520,3,0
919,20160521,6,0
919,20160522,6,0
919,20160523,171,0
919,20160524,75,0
919,20160525,1,0
919,20160526,0,0
919,20160527,0,0
919,20160528,0,0
919,20160529,0,0
919,20160530,80,0
919,20160531,190,0
919,20160601,1,0
919,20160602,308,0
919,20160603,6,0
919,20160604,1,0
919,20160605,110,0
919,20160606,0,0
919,20160607,0,0
919,20160608,0,0
919,20160609,0,0
919,20160610,0,0
919,20160611,0,0
919,20160612,6,0
919,20160613,277,0
919,20160614,413,0
919,20160615,26,0
919,20160616,128,0
919,20160617,13,0
919,20160618,23,0
919,20160619,42,0
919,20160620,0,0
919,20160621,143,0
919,20160622,88,0
919,20160623,0,0
919,20160624,313,0
919,20160625,0,0
919,20160626,50,0
919,20160627,90,0
919,20160628,13,0
919,20160629,111,0
919,20160630,14,0
919,20160701,43,0
919,20160702,113,0
919,20160703,26,0
919,20160704,0,0
919,20160705,0,0
919,20160706,0,0
919,20160707,0,0
919,20160708,0,0
919,20160709,0,0
919,20160710,0,0
919,20160711,0,0
919,20160712,0,0
919,20160713,0,0
919,20160714,19,0
919,20160715,0,0
919,20160716,0,0
919,20160717,0,0
919,20160718,32,0
919,20160719,0,0
919,20160720,0,0
919,20160721,0,0
919,20160722,90,0
919,20160723,4,0
919,20160724,0,0
919,20160725,0,0
919,20160726,0,0
919,20160727,0,0
919,20160728,8,0
919,20160729,77,0
919,20160730,0,0
919,20160731,27,0
919,20160801,23,0
919,20160802,98,0
919,20160803,96,0
919,20160804,160,0
919,20160805,0,0
919,20160806,10,0
919,20160807,0,0
919,20160808,0,0
919,20160809,9,0
919,20160810,65,0
919,20160811,3,0
919,20160812,37,0
919,20160813,0,0
919,20160814,0,0
919,20160815,0,0
919,20160816,0,0
919,20160817,0,0
919,20160818,0,0
919,20160819,0,0
919,20160820,16,0
919,20160821,6,0
919,20160822,29,0
919,20160823,3,0
919,20160824,0,0
919,20160825,0,0
919,20160826,0,0
919,20160827,0,0
919,20160828,0,0
919,20160829,22,0
919,20160830,0,0
919,20160831,0,0
919,20160901,0,0
919,20160902,0,0
919,20160903,13,0
919,20160904,23,0
919,20160905,15,0
919,20160906,0,0
919,20160907,0,0
919,20160908,0,0
919,20160909,0,0
919,20160910,0,0
919,20160911,0,0
919,20160912,0,0
919,20160913,0,0
919,20160914,0,0
919,20160915,0,0
919,20160916,72,0
919,20160917,0,0
919,20160918,0,0
919,20160919,0,0
919,20160920,0,0
919,20160921,0,0
919,20160922,0,0
919,20160923,0,0
919,20160924,0,0
919,20160925,0,0
919,20160926,13,0
919,20160927,0,0
919,20160928,0,0
919,20160929,0,0
919,20160930,14,0
919,20161001,7,0
919,20161002,54,0
919,20161003,62,0
919,20161004,2,0
919,20161005,0,0
919,20161006,0,0
919,20161007,0,0
919,20161008,0,0
919,20161009,0,0
919,20161010,5,0
919,20161011,0,0
919,20161012,17,0
919,20161013,0,0
919,20161014,0,0
919,20161015,103,0
919,20161016,1,0
919,20161017,2,0
919,20161018,0,0
919,20161019,100,0
919,20161020,41,0
919,20161021,15,0
919,20161022,6,0
919,20161023,0,0
919,20161024,0,0
919,20161025,4,0
919,20161026,0,0
919,20161027,0,0
919,20161028,0,0
919,20161029,0,0
919,20161030,0,0
919,20161031,0,0
919,20161101,0,0
919,20161102,21,0
919,20161103,28,0
919,20161104,2,0
919,20161105,12,0
919,20161106,16,0
919,20161107,13,0
919,20161108,13,0
919,20161109,6,0
919,20161110,106,0
919,20161111,130,0
919,20161112,0,0
919,20161113,13,0
919,20161114,23,0
919,20161115,37,0
919,20161116,103,0
919,20161117,116,0
919,20161118,141,0
919,20161119,43,0
919,20161120,14,0
919,20161121,50,0
919,20161122,30,0
919,20161123,0,0
919,20161124,0,0
919,20161125,0,0
919,20161126,0,0
919,20161127,0,0
919,20161128,0,0
919,20161129,0,0
919,20161130,0,0
919,20161201,0,0
919,20161202,2,0
919,20161203,13,0
919,20161204,0,0
919,20161205,0,0
919,20161206,0,0
919,20161207,0,0
919,20161208,0,0
919,20161209,0,0
919,20161210,0,0
919,20161211,40,0
919,20161212,0,0
919,20161213,10,0
919,20161214,5,0
919,20161215,1,0
919,20161216,0,0
919,20161217,2,0
919,20161218,0,0
919,20161219,0,0
919,20161220,0,0
919,20161221,0,0
919,20161222,137,0
919,20161223,1,0
919,20161224,14,0
919,20161225,10,0
919,20161226,41,0
919,20161227,10,0
919,20161228,0,0
919,20161229,0,0
919,20161230,0,0
919,20161231,0,0
919,20170101,0,0
919,20170102,50,0
919,20170103,2,0
919,20170104,26,0
919,20170105,12,0
919,20170106,0,0
919,20170107,31,1
919,20170108,10,998
919,20170109,0,0
919,20170110,56,0
919,20170111,7,0
919,20170112,13,0
919,20170113,290,0
919,20170114,71,998
919,20170115,28,997
919,20170116,1,0
919,20170117,2,0
919,20170118,0,0
919,20170119,0,0
919,20170120,0,0
919,20170121,0,0
919,20170122,0,0
919,20170123,0,0
919,20170124,0,0
919,20170125,0,0
919,20170126,0,0
919,20170127,0,0
919,20170128,0,0
919,20170129,11,0
919,20170130,73,0
919,20170131,7,0
919,20170201,0,0
919,20170202,5,0
919,20170203,0,0
919,20170204,0,0
919,20170205,65,0
919,20170206,1,0
919,20170207,1,0
919,20170208,39,0
919,20170209,2,0
919,20170210,0,0
919,20170211,14,2
919,20170212,33,0
919,20170213,0,0
919,20170214,0,0
919,20170215,0,0
919,20170216,0,0
919,20170217,11,0
919,20170218,1,0
919,20170219,0,0
919,20170220,0,0
919,20170221,54,0
919,20170222,43,0
919,20170223,312,0
919,20170224,49,0
919,20170225,3,0
919,20170226,4,0
919,20170227,0,0
919,20170228,89,0
919,20170301,119,0
919,20170302,20,0
919,20170303,0,0
919,20170304,0,0
919,20170305,63,0
919,20170306,100,0
919,20170307,17,0
919,20170308,46,0
919,20170309,134,0
919,20170310,4,0
919,20170311,0,0
919,20170312,0,0
919,20170313,0,0
919,20170314,0,0
919,20170315,0,0
919,20170316,0,0
919,20170317,0,0
919,20170318,113,0
919,20170319,102,0
919,20170320,23,0
919,20170321,21,0
919,20170322,0,0
919,20170323,0,0
919,20170324,0,0
919,20170325,0,0
919,20170326,0,0
919,20170327,0,0
919,20170328,0,0
919,20170329,0,0
919,20170330,0,0
919,20170331,0,0
919,20170401,2,0
919,20170402,59,0
919,20170403,0,0
919,20170404,0,0
919,20170405,0,0
919,20170406,0,0
919,20170407,0,0
919,20170408,0,0
919,20170409,0,0
919,20170410,0,0
919,20170411,0,0
919,20170412,0,0
919,20170413,16,0
919,20170414,0,0
919,20170415,16,0
919,20170416,14,0
919,20170417,76,0
919,20170418,0,0
919,20170419,0,0
919,20170420,0,0
919,20170421,0,0
919,20170422,17,0
919,20170423,0,0
919,20170424,0,0
919,20170425,11,0
919,20170426,4,0
919,20170427,3,0
919,20170428,6,0
919,20170429,0,0
919,20170430,0,0
919,20170501,3,0
919,20170502,2,0
919,20170503,67,0
919,20170504,51,0
919,20170505,0,0
919,20170506,0,0
919,20170507,0,0
919,20170508,0,0
919,20170509,0,0
919,20170510,0,0
919,20170511,0,0
919,20170512,87,0
919,20170513,31,0
919,20170514,30,0
919,20170515,2,0
919,20170516,0,0
919,20170517,0,0
919,20170518,30,0
919,20170519,23,0
919,20170520,45,0
919,20170521,0,0
919,20170522,0,0
919,20170523,0,0
919,20170524,0,0
919,20170525,0,0
919,20170526,0,0
919,20170527,0,0
919,20170528,8,0
919,20170529,0,0
919,20170530,2,0
919,20170531,0,0
919,20170601,0,0
919,20170602,0,0
919,20170603,0,0
919,20170604,45,0
919,20170605,0,0
919,20170606,24,0
919,20170607,18,0
919,20170608,4,0
919,20170609,68,0
919,20170610,38,0
919,20170611,0,0
919,20170612,0,0
919,20170613,0,0
919,20170614,0,0
919,20170615,0,0
919,20170616,0,0
919,20170617,0,0
919,20170618,0,0
919,20170619,0,0
919,20170620,0,0
919,20170621,0,0
919,20170622,0,0
919,20170623,2,0
919,20170624,0,0
919,20170625,14,0
919,20170626,0,0
919,20170627,0,0
919,20170628,20,0
919,20170629,96,0
919,20170630,1,0
919,20170701,157,0
919,20170702,5,0
919,20170703,3,0
919,20170704,0,0
919,20170705,0,0
919,20170706,0,0
919,20170707,63,0
919,20170708,0,0
919,20170709,0,0
919,20170710,0,0
919,20170711,0,0
919,20170712,228,0
919,20170713,172,0
919,20170714,0,0
919,20170715,37,0
919,20170716,2,0
919,20170717,57,0
919,20170718,0,0
919,20170719,0,0
919,20170720,89,0
919,20170721,0,0
919,20170722,0,0
919,20170723,78,0
919,20170724,186,0
919,20170725,85,0
919,20170726,75,0
919,20170727,2,0
919,20170728,2,0
919,20170729,15,0
919,20170730,0,0
919,20170731,9,0
919,20170801,0,0
919,20170802,0,0
919,20170803,12,0
919,20170804,1,0
919,20170805,2,0
919,20170806,69,0
919,20170807,0,0
919,20170808,0,0
919,20170809,41,0
919,20170810,0,0
919,20170811,15,0
919,20170812,12,0
919,20170813,11,0
919,20170814,1,0
919,20170815,0,0
919,20170816,47,0
919,20170817,2,0
919,20170818,8,0
919,20170819,35,0
919,20170820,25,0
919,20170821,0,0
919,20170822,0,0
919,20170823,0,0
919,20170824,0,0
919,20170825,0,0
919,20170826,0,0
919,20170827,0,0
919,20170828,0,0
919,20170829,0,0
919,20170830,65,0
919,20170831,115,0
919,20170901,6,0
919,20170902,0,0
919,20170903,0,0
919,20170904,0,0
919,20170905,0,0
919,20170906,47,0
919,20170907,1,0
919,20170908,3,0
919,20170909,67,0
919,20170910,10,0
919,20170911,17,0
919,20170912,78,0
919,20170913,57,0
919,20170914,45,0
919,20170915,209,0
919,20170916,1,0
919,20170917,0,0
919,20170918,0,0
